gemeratopm, max, min, mean, standev
0, 12.000000, 12.000000, 12.000000, 0.000000
1, 8.000000, 8.000000, 8.000000, 0.000000
2, 13.000000, 13.000000, 13.000000, 0.000000
3, 13.000000, 13.000000, 13.000000, 0.000000
4, 12.000000, 12.000000, 12.000000, 0.000000
5, 13.000000, 13.000000, 13.000000, 0.000000
6, 8.000000, 8.000000, 8.000000, 0.000000
7, 11.000000, 11.000000, 11.000000, 0.000000
8, 12.000000, 12.000000, 12.000000, 0.000000
9, 15.000000, 15.000000, 15.000000, 0.000000
10, 10.000000, 10.000000, 10.000000, 0.000000
11, 13.000000, 13.000000, 13.000000, 0.000000
12, 13.000000, 13.000000, 13.000000, 0.000000
13, 10.000000, 10.000000, 10.000000, 0.000000
14, 13.000000, 13.000000, 13.000000, 0.000000
15, 14.000000, 14.000000, 14.000000, 0.000000
16, 12.000000, 12.000000, 12.000000, 0.000000
17, 9.000000, 9.000000, 9.000000, 0.000000
18, 14.000000, 14.000000, 14.000000, 0.000000
19, 11.000000, 11.000000, 11.000000, 0.000000
