gemeratopm, max, min, mean, standev
0, 9.000000, 9.000000, 9.000000, 0.000000
1, 13.000000, 13.000000, 13.000000, 0.000000
2, 14.000000, 14.000000, 14.000000, 0.000000
3, 9.000000, 9.000000, 9.000000, 0.000000
4, 14.000000, 14.000000, 14.000000, 0.000000
5, 15.000000, 15.000000, 15.000000, 0.000000
6, 12.000000, 12.000000, 12.000000, 0.000000
7, 9.000000, 9.000000, 9.000000, 0.000000
8, 11.000000, 11.000000, 11.000000, 0.000000
9, 12.000000, 12.000000, 12.000000, 0.000000
10, 13.000000, 13.000000, 13.000000, 0.000000
11, 14.000000, 14.000000, 14.000000, 0.000000
12, 12.000000, 12.000000, 12.000000, 0.000000
13, 12.000000, 12.000000, 12.000000, 0.000000
14, 14.000000, 14.000000, 14.000000, 0.000000
15, 11.000000, 11.000000, 11.000000, 0.000000
16, 14.000000, 14.000000, 14.000000, 0.000000
17, 13.000000, 13.000000, 13.000000, 0.000000
18, 13.000000, 13.000000, 13.000000, 0.000000
19, 12.000000, 12.000000, 12.000000, 0.000000
