gemeratopm, max, min, mean, standev
0, 4.000000, 4.000000, 4.000000, 0.000000
1, 4.000000, 4.000000, 4.000000, 0.000000
2, 5.000000, 5.000000, 5.000000, 0.000000
3, 5.000000, 5.000000, 5.000000, 0.000000
4, 5.000000, 5.000000, 5.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 3.000000, 3.000000, 3.000000, 0.000000
7, 5.000000, 5.000000, 5.000000, 0.000000
8, 4.000000, 4.000000, 4.000000, 0.000000
9, 2.000000, 2.000000, 2.000000, 0.000000
10, 5.000000, 5.000000, 5.000000, 0.000000
11, 5.000000, 5.000000, 5.000000, 0.000000
12, 4.000000, 4.000000, 4.000000, 0.000000
13, 3.000000, 3.000000, 3.000000, 0.000000
14, 3.000000, 3.000000, 3.000000, 0.000000
15, 4.000000, 4.000000, 4.000000, 0.000000
16, 4.000000, 4.000000, 4.000000, 0.000000
17, 3.000000, 3.000000, 3.000000, 0.000000
18, 3.000000, 3.000000, 3.000000, 0.000000
19, 4.000000, 4.000000, 4.000000, 0.000000
