gemeratopm, max, min, mean, standev
0, 2.000000, 2.000000, 2.000000, 0.000000
1, 2.000000, 2.000000, 2.000000, 0.000000
2, 1.000000, 1.000000, 1.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.000000
4, 1.000000, 1.000000, 1.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 3.000000, 3.000000, 3.000000, 0.000000
7, 1.000000, 1.000000, 1.000000, 0.000000
8, 3.000000, 3.000000, 3.000000, 0.000000
9, 2.000000, 2.000000, 2.000000, 0.000000
10, 3.000000, 3.000000, 3.000000, 0.000000
11, 1.000000, 1.000000, 1.000000, 0.000000
12, 1.000000, 1.000000, 1.000000, 0.000000
13, 1.000000, 1.000000, 1.000000, 0.000000
14, 2.000000, 2.000000, 2.000000, 0.000000
15, 1.000000, 1.000000, 1.000000, 0.000000
16, 2.000000, 2.000000, 2.000000, 0.000000
17, 1.000000, 1.000000, 1.000000, 0.000000
18, 2.000000, 2.000000, 2.000000, 0.000000
19, 0.000000, 0.000000, 0.000000, 0.000000
