gemeratopm, max, min, mean, standev
0, 6.000000, 6.000000, 6.000000, 0.000000
1, 8.000000, 8.000000, 8.000000, 0.000000
2, 7.000000, 7.000000, 7.000000, 0.000000
3, 7.000000, 7.000000, 7.000000, 0.000000
4, 8.000000, 8.000000, 8.000000, 0.000000
5, 10.000000, 10.000000, 10.000000, 0.000000
6, 6.000000, 6.000000, 6.000000, 0.000000
7, 7.000000, 7.000000, 7.000000, 0.000000
8, 7.000000, 7.000000, 7.000000, 0.000000
9, 6.000000, 6.000000, 6.000000, 0.000000
10, 8.000000, 8.000000, 8.000000, 0.000000
11, 7.000000, 7.000000, 7.000000, 0.000000
12, 6.000000, 6.000000, 6.000000, 0.000000
13, 6.000000, 6.000000, 6.000000, 0.000000
14, 7.000000, 7.000000, 7.000000, 0.000000
15, 6.000000, 6.000000, 6.000000, 0.000000
16, 6.000000, 6.000000, 6.000000, 0.000000
17, 5.000000, 5.000000, 5.000000, 0.000000
18, 6.000000, 6.000000, 6.000000, 0.000000
19, 5.000000, 5.000000, 5.000000, 0.000000
