gemeratopm, max, min, mean, standev
0, 3.000000, 3.000000, 3.000000, 0.000000
1, 2.000000, 2.000000, 2.000000, 0.000000
2, 3.000000, 3.000000, 3.000000, 0.000000
3, 3.000000, 3.000000, 3.000000, 0.000000
4, 2.000000, 2.000000, 2.000000, 0.000000
5, 3.000000, 3.000000, 3.000000, 0.000000
6, 2.000000, 2.000000, 2.000000, 0.000000
7, 1.000000, 1.000000, 1.000000, 0.000000
8, 4.000000, 4.000000, 4.000000, 0.000000
9, 3.000000, 3.000000, 3.000000, 0.000000
10, 4.000000, 4.000000, 4.000000, 0.000000
11, 3.000000, 3.000000, 3.000000, 0.000000
12, 2.000000, 2.000000, 2.000000, 0.000000
13, 3.000000, 3.000000, 3.000000, 0.000000
14, 2.000000, 2.000000, 2.000000, 0.000000
15, 3.000000, 3.000000, 3.000000, 0.000000
16, 1.000000, 1.000000, 1.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 2.000000, 2.000000, 2.000000, 0.000000
19, 3.000000, 3.000000, 3.000000, 0.000000
