gemeratopm, max, min, mean, standev
0, 8.000000, 8.000000, 8.000000, 0.000000
1, 9.000000, 9.000000, 9.000000, 0.000000
2, 9.000000, 9.000000, 9.000000, 0.000000
3, 6.000000, 6.000000, 6.000000, 0.000000
4, 6.000000, 6.000000, 6.000000, 0.000000
5, 7.000000, 7.000000, 7.000000, 0.000000
6, 7.000000, 7.000000, 7.000000, 0.000000
7, 7.000000, 7.000000, 7.000000, 0.000000
8, 10.000000, 10.000000, 10.000000, 0.000000
9, 8.000000, 8.000000, 8.000000, 0.000000
10, 11.000000, 11.000000, 11.000000, 0.000000
11, 8.000000, 8.000000, 8.000000, 0.000000
12, 6.000000, 6.000000, 6.000000, 0.000000
13, 10.000000, 10.000000, 10.000000, 0.000000
14, 8.000000, 8.000000, 8.000000, 0.000000
15, 9.000000, 9.000000, 9.000000, 0.000000
16, 6.000000, 6.000000, 6.000000, 0.000000
17, 7.000000, 7.000000, 7.000000, 0.000000
18, 6.000000, 6.000000, 6.000000, 0.000000
19, 10.000000, 10.000000, 10.000000, 0.000000
