gemeratopm, max, min, mean, standev
0, 11.000000, 11.000000, 11.000000, 0.000000
1, 13.000000, 13.000000, 13.000000, 0.000000
2, 9.000000, 9.000000, 9.000000, 0.000000
3, 12.000000, 12.000000, 12.000000, 0.000000
4, 13.000000, 13.000000, 13.000000, 0.000000
5, 13.000000, 13.000000, 13.000000, 0.000000
6, 13.000000, 13.000000, 13.000000, 0.000000
7, 10.000000, 10.000000, 10.000000, 0.000000
8, 12.000000, 12.000000, 12.000000, 0.000000
9, 12.000000, 12.000000, 12.000000, 0.000000
10, 11.000000, 11.000000, 11.000000, 0.000000
11, 14.000000, 14.000000, 14.000000, 0.000000
12, 13.000000, 13.000000, 13.000000, 0.000000
13, 14.000000, 14.000000, 14.000000, 0.000000
14, 13.000000, 13.000000, 13.000000, 0.000000
15, 14.000000, 14.000000, 14.000000, 0.000000
16, 11.000000, 11.000000, 11.000000, 0.000000
17, 11.000000, 11.000000, 11.000000, 0.000000
18, 12.000000, 12.000000, 12.000000, 0.000000
19, 11.000000, 11.000000, 11.000000, 0.000000
