gemeratopm, max, min, mean, standev
0, 1.000000, 1.000000, 1.000000, 0.000000
1, 1.000000, 1.000000, 1.000000, 0.000000
2, 0.000000, 0.000000, 0.000000, 0.000000
3, 1.000000, 1.000000, 1.000000, 0.000000
4, 1.000000, 1.000000, 1.000000, 0.000000
5, 2.000000, 2.000000, 2.000000, 0.000000
6, 1.000000, 1.000000, 1.000000, 0.000000
7, 1.000000, 1.000000, 1.000000, 0.000000
8, 1.000000, 1.000000, 1.000000, 0.000000
9, 3.000000, 3.000000, 3.000000, 0.000000
10, 0.000000, 0.000000, 0.000000, 0.000000
11, 2.000000, 2.000000, 2.000000, 0.000000
12, 1.000000, 1.000000, 1.000000, 0.000000
13, 1.000000, 1.000000, 1.000000, 0.000000
14, 0.000000, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000, 0.000000
16, 4.000000, 4.000000, 4.000000, 0.000000
17, 1.000000, 1.000000, 1.000000, 0.000000
18, 4.000000, 4.000000, 4.000000, 0.000000
19, 0.000000, 0.000000, 0.000000, 0.000000
