gemeratopm, max, min, mean, standev
0, 4.000000, 4.000000, 4.000000, 0.000000
1, 4.000000, 4.000000, 4.000000, 0.000000
2, 5.000000, 5.000000, 5.000000, 0.000000
3, 4.000000, 4.000000, 4.000000, 0.000000
4, 4.000000, 4.000000, 4.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 5.000000, 5.000000, 5.000000, 0.000000
7, 1.000000, 1.000000, 1.000000, 0.000000
8, 4.000000, 4.000000, 4.000000, 0.000000
9, 5.000000, 5.000000, 5.000000, 0.000000
10, 4.000000, 4.000000, 4.000000, 0.000000
11, 4.000000, 4.000000, 4.000000, 0.000000
12, 4.000000, 4.000000, 4.000000, 0.000000
13, 4.000000, 4.000000, 4.000000, 0.000000
14, 3.000000, 3.000000, 3.000000, 0.000000
15, 5.000000, 5.000000, 5.000000, 0.000000
16, 3.000000, 3.000000, 3.000000, 0.000000
17, 3.000000, 3.000000, 3.000000, 0.000000
18, 2.000000, 2.000000, 2.000000, 0.000000
19, 5.000000, 5.000000, 5.000000, 0.000000
