gemeratopm, max, min, mean, standev
0, 10.000000, 10.000000, 10.000000, 0.000000
1, 11.000000, 11.000000, 11.000000, 0.000000
2, 13.000000, 13.000000, 13.000000, 0.000000
3, 14.000000, 14.000000, 14.000000, 0.000000
4, 14.000000, 14.000000, 14.000000, 0.000000
5, 11.000000, 11.000000, 11.000000, 0.000000
6, 13.000000, 13.000000, 13.000000, 0.000000
7, 13.000000, 13.000000, 13.000000, 0.000000
8, 15.000000, 15.000000, 15.000000, 0.000000
9, 12.000000, 12.000000, 12.000000, 0.000000
10, 13.000000, 13.000000, 13.000000, 0.000000
11, 6.000000, 6.000000, 6.000000, 0.000000
12, 8.000000, 8.000000, 8.000000, 0.000000
13, 14.000000, 14.000000, 14.000000, 0.000000
14, 14.000000, 14.000000, 14.000000, 0.000000
15, 13.000000, 13.000000, 13.000000, 0.000000
16, 12.000000, 12.000000, 12.000000, 0.000000
17, 10.000000, 10.000000, 10.000000, 0.000000
18, 13.000000, 13.000000, 13.000000, 0.000000
19, 11.000000, 11.000000, 11.000000, 0.000000
