gemeratopm, max, min, mean, standev
0, 4.000000, 4.000000, 4.000000, 0.000000
1, 5.000000, 5.000000, 5.000000, 0.000000
2, 5.000000, 5.000000, 5.000000, 0.000000
3, 4.000000, 4.000000, 4.000000, 0.000000
4, 5.000000, 5.000000, 5.000000, 0.000000
5, 5.000000, 5.000000, 5.000000, 0.000000
6, 5.000000, 5.000000, 5.000000, 0.000000
7, 4.000000, 4.000000, 4.000000, 0.000000
8, 4.000000, 4.000000, 4.000000, 0.000000
9, 4.000000, 4.000000, 4.000000, 0.000000
10, 5.000000, 5.000000, 5.000000, 0.000000
11, 5.000000, 5.000000, 5.000000, 0.000000
12, 4.000000, 4.000000, 4.000000, 0.000000
13, 4.000000, 4.000000, 4.000000, 0.000000
14, 5.000000, 5.000000, 5.000000, 0.000000
15, 3.000000, 3.000000, 3.000000, 0.000000
16, 5.000000, 5.000000, 5.000000, 0.000000
17, 4.000000, 4.000000, 4.000000, 0.000000
18, 4.000000, 4.000000, 4.000000, 0.000000
19, 5.000000, 5.000000, 5.000000, 0.000000
