gemeratopm, max, min, mean, standev
0, 3.000000, 3.000000, 3.000000, 0.000000
1, 3.000000, 3.000000, 3.000000, 0.000000
2, 3.000000, 3.000000, 3.000000, 0.000000
3, 3.000000, 3.000000, 3.000000, 0.000000
4, 4.000000, 4.000000, 4.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 4.000000, 4.000000, 4.000000, 0.000000
7, 4.000000, 4.000000, 4.000000, 0.000000
8, 3.000000, 3.000000, 3.000000, 0.000000
9, 3.000000, 3.000000, 3.000000, 0.000000
10, 3.000000, 3.000000, 3.000000, 0.000000
11, 2.000000, 2.000000, 2.000000, 0.000000
12, 2.000000, 2.000000, 2.000000, 0.000000
13, 2.000000, 2.000000, 2.000000, 0.000000
14, 3.000000, 3.000000, 3.000000, 0.000000
15, 2.000000, 2.000000, 2.000000, 0.000000
16, 1.000000, 1.000000, 1.000000, 0.000000
17, 3.000000, 3.000000, 3.000000, 0.000000
18, 5.000000, 5.000000, 5.000000, 0.000000
19, 2.000000, 2.000000, 2.000000, 0.000000
