gemeratopm, max, min, mean, standev
0, 3.000000, 3.000000, 3.000000, 0.000000
1, 4.000000, 4.000000, 4.000000, 0.000000
2, 2.000000, 2.000000, 2.000000, 0.000000
3, 3.000000, 3.000000, 3.000000, 0.000000
4, 1.000000, 1.000000, 1.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 4.000000, 4.000000, 4.000000, 0.000000
7, 3.000000, 3.000000, 3.000000, 0.000000
8, 1.000000, 1.000000, 1.000000, 0.000000
9, 1.000000, 1.000000, 1.000000, 0.000000
10, 3.000000, 3.000000, 3.000000, 0.000000
11, 1.000000, 1.000000, 1.000000, 0.000000
12, 3.000000, 3.000000, 3.000000, 0.000000
13, 3.000000, 3.000000, 3.000000, 0.000000
14, 3.000000, 3.000000, 3.000000, 0.000000
15, 3.000000, 3.000000, 3.000000, 0.000000
16, 2.000000, 2.000000, 2.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 4.000000, 4.000000, 4.000000, 0.000000
19, 2.000000, 2.000000, 2.000000, 0.000000
