gemeratopm, max, min, mean, standev
0, 6.000000, 6.000000, 6.000000, 0.000000
1, 8.000000, 8.000000, 8.000000, 0.000000
2, 7.000000, 7.000000, 7.000000, 0.000000
3, 7.000000, 7.000000, 7.000000, 0.000000
4, 6.000000, 6.000000, 6.000000, 0.000000
5, 6.000000, 6.000000, 6.000000, 0.000000
6, 4.000000, 4.000000, 4.000000, 0.000000
7, 8.000000, 8.000000, 8.000000, 0.000000
8, 6.000000, 6.000000, 6.000000, 0.000000
9, 6.000000, 6.000000, 6.000000, 0.000000
10, 6.000000, 6.000000, 6.000000, 0.000000
11, 7.000000, 7.000000, 7.000000, 0.000000
12, 6.000000, 6.000000, 6.000000, 0.000000
13, 6.000000, 6.000000, 6.000000, 0.000000
14, 7.000000, 7.000000, 7.000000, 0.000000
15, 7.000000, 7.000000, 7.000000, 0.000000
16, 6.000000, 6.000000, 6.000000, 0.000000
17, 6.000000, 6.000000, 6.000000, 0.000000
18, 6.000000, 6.000000, 6.000000, 0.000000
19, 6.000000, 6.000000, 6.000000, 0.000000
