gemeratopm, max, min, mean, standev
0, 9.000000, 9.000000, 9.000000, 0.000000
1, 9.000000, 9.000000, 9.000000, 0.000000
2, 7.000000, 7.000000, 7.000000, 0.000000
3, 11.000000, 11.000000, 11.000000, 0.000000
4, 9.000000, 9.000000, 9.000000, 0.000000
5, 14.000000, 14.000000, 14.000000, 0.000000
6, 10.000000, 10.000000, 10.000000, 0.000000
7, 9.000000, 9.000000, 9.000000, 0.000000
8, 8.000000, 8.000000, 8.000000, 0.000000
9, 8.000000, 8.000000, 8.000000, 0.000000
10, 9.000000, 9.000000, 9.000000, 0.000000
11, 10.000000, 10.000000, 10.000000, 0.000000
12, 11.000000, 11.000000, 11.000000, 0.000000
13, 8.000000, 8.000000, 8.000000, 0.000000
14, 10.000000, 10.000000, 10.000000, 0.000000
15, 11.000000, 11.000000, 11.000000, 0.000000
16, 10.000000, 10.000000, 10.000000, 0.000000
17, 10.000000, 10.000000, 10.000000, 0.000000
18, 8.000000, 8.000000, 8.000000, 0.000000
19, 8.000000, 8.000000, 8.000000, 0.000000
